freq(Hz)   1000000000   eps_r   2.00     mu_r    1    sigma   1000
theta(rad)  RCS(m^2)
0 0.801777377776518 0.801777377776518
0.0317332591271696 0.801794252170244 
0.0634665182543393 0.798977071033323 
0.0951997773815089 0.794664506659017 
0.126933036508679 0.790753237296905 
0.158666295635848 0.78920371889823 
0.190399554763018 0.791531291589537 
0.222132813890187 0.798397771654719 0.774423975228412
0.253866073017357 0.809384604357593 0.774703842028119
0.285599332144527 0.822982115278853 0.777404032342256
0.317332591271696 0.836786745370708 0.782415074567025
0.349065850398866 0.847869627280585 0.789325375319826
0.380799109526036 0.853266018957249 0.79745790482388
0.412532368653205 0.850528469788982 0.805945664963937
0.444265627780375 0.838277515878303 0.813839914002617
0.475998886907544 0.816667498596574 0.820239689560927
0.507732146034714 0.787666637409812 0.824426044104595
0.539465405161884 0.755043637399839 0.825980665386288
0.571198664289053 0.723974835688522 0.824867421448381
0.602931923416223 0.700247264642425 0.821457903060867
0.634665182543393 0.689131127644868 0.816488781391112
0.666398441670562 0.69410978362214 0.810949490234219
0.698131700797732 0.715752242366472 0.805912127646534
0.729864959924901 0.751054008399351 0.802329317176908
0.761598219052071 0.79352732454329 0.800837092489234
0.793331478179241 0.83418278304117 0.801605427204839
0.82506473730641 0.86333010910544 0.804276036737963
0.85679799643358 0.872883149866715 0.808014064937085
0.88853125556075 0.858647633511549 0.811677924984523
0.920264514687919 0.821968014188755 0.814083272186543
0.951997773815089 0.770163720089889 0.814308855204992
0.983731032942258 0.715413448510375 0.811971560114873
1.01546429206943 0.672120394667494 0.807393016372092
1.0471975511966 0.653234102566414 0.801595913463376
1.07893081032377 0.666400503780427 0.796105047574255
1.11066406945094 0.711031845359732 0.792579973707879
1.14239732857811 0.777326040953173 0.792360493917719
1.17413058770528 0.847875019561731 0.796046532995628
1.20586384683245 0.901830191768053 0.803244141180997
1.23759710595962 0.920788259712622 0.812579442428135
1.26933036508679 0.894851232900496 0.82201361259008
1.30106362421395 0.826956034534828 0.829399501644707
1.33279688334112 0.733763232259353 0.833131264476804
1.36453014246829 0.642204284270653 0.83268427666455
1.39626340159546 0.582076171198738 0.828849952559643
1.42799666072263 0.576500707386862 0.823548159445655
1.4597299198498 0.633157228114493 0.819233500233831
1.49146317897697 0.739481215050258 0.818061260322143
1.52319643810414 0.864211643899838 0.821090431571327
1.55492969723131 0.965822259934263 0.827825091370475
1.58666295635848 1.00595070165478 0.836306727428713
1.61839621548565 0.963738317193542 0.843784658281478
1.65012947461282 0.845904388898897 0.847767884226792
1.68186273373999 0.688058753181575 0.847084637422114
1.71359599286716 0.545308838481365 0.842526437374888
1.74532925199433 0.474016381173095 0.836772234829765
1.7770625111215 0.510342325445466 0.833549972739937
1.80879577024867 0.653460627490832 0.836305291014337
1.84052902937584 0.860811659203066 0.84688041114363
1.87226228850301 1.05918154669777 0.864746543590537
1.90399554763018 1.16962794596152 0.887138699582877
1.93572880675735 1.13830956452807 0.910075157738183
1.96746206588452 0.961569394114677 0.929858568826388
1.99919532501169 0.694133679174779 0.944434119009573
2.03092858413886 0.434548920842658 0.954044619966624
2.06266184326603 0.290573948708607 0.96096136426066
2.0943951023932 0.336065996038858 0.96852287206426
2.12612836152037 0.57619815853813 0.98003791340682
2.15786162064753 0.93676484829281 0.99810505552935
2.1895948797747 1.28533448700998 1.02454193225372
2.22132813890187 1.47951265298658 1.06060326943004
2.25306139802904 1.42536883941618 1.10684843564777
2.28479465715621 1.12254160632591 1.16220528759937
2.31652791628338 0.675323800806639 1.22250710065267
2.34826117541055 0.261149608682448 1.27970081238523
2.37999443453772 0.0651893942008384 1.32338592619094
2.41172769366489 0.205181501352151 1.34572133629383
2.44346095279206 0.677149069842345 1.3488777127433
2.47519421191923 1.34644124121077 1.35174509541566
2.5069274710464 1.99115660561216 1.39088685861219
2.53866073017357 2.38328149334567 1.51131566896412
2.57039398930074 2.37629166501175 1.74643134896616
2.60212724842791 1.96446707724285 2.09278269899339
2.63386050755508 1.29122107250452 2.49179750358957
2.66559376668225 0.606607763283213 2.83371492539402
2.69732702580942 0.197494507366227 2.99543243517187
2.72906028493659 0.326229197750723 2.91279143394283
2.76079354406376 1.20800695541438 2.67140034494571
2.79252680319093 3.03494682171262 2.58429949684484
2.8242600623181 6.02609717335249 3.21714478477852
2.85599332144527 10.4616718240765 5.32824477435577
2.88772658057244 16.6589903548488 9.71320334417484
2.91945983969961 24.8704291845289 16.9770806240871
2.95119309882678 35.12231997822 27.2900835694326
2.98292635795395 47.0513870283924 40.2026836766585
3.01465961708111 59.8134504835002 54.5923610267935
3.04639287620828 72.1261151269873 68.7840851668034
3.07812613533545 82.4645072829572 80.8372141338038
3.10985939446262 89.3719538914169 88.9380934765578
3.14159265358979 91.7988165435977 91.7988165435977
